date,country,confirmed,deaths,recovered,active,mortality_rate,recovery_rate
2020-01-22,India,0,0,0,0,,
2020-02-01,India,1,0,0,1,0.0,0.0
2020-03-01,India,3,0,0,3,0.0,0.0
2020-03-15,India,107,2,10,95,1.87,9.35
2020-04-01,India,1834,58,148,1628,3.16,8.07
2020-04-15,India,11933,392,1359,10182,3.29,11.39
2020-05-01,India,35043,1147,9068,0,3.27,25.88
2020-05-15,India,0,2752,30258,52930,,
2020-06-01,India,190535,5394,91819,93322,2.83,48.19
2020-06-15,India,343091,0,181789,151402,0.0,52.99
2020-07-01,India,585493,17400,349950,218143,2.97,59.77
2020-07-15,India,949156,24529,596439,328188,2.58,62.84
2020-08-01,India,1751919,37364,0,517612,2.13,0.0
2020-08-15,India,2526192,49980,1779450,696762,1.98,70.44
2020-09-01,India,3769524,66333,2917890,785301,1.76,77.41
2020-09-15,India,4930236,81025,3980898,868313,1.64,80.74
2020-10-01,India,6394068,99773,5441779,852516,1.56,85.11
2020-10-15,India,7331807,111266,6464375,756166,1.52,88.17
2020-11-01,India,8184082,121641,7442962,619479,1.49,90.94
2020-11-15,India,8831214,130070,8262180,438964,1.47,93.56
2020-12-01,India,9462809,137621,8934649,390539,1.45,94.42
2020-12-15,India,10003012,145074,9577539,280399,1.45,95.75
2021-01-01,India,10323474,149218,9925056,249200,1.45,96.14
2021-01-15,India,10557985,152454,10200883,204648,1.44,96.62
2021-02-01,India,10766245,154596,10459564,152085,1.44,97.15
2021-02-15,India,10937516,155739,10643988,137789,1.42,97.32
2021-03-01,India,11124527,157248,10807568,159711,1.41,97.15
2021-03-15,India,11427972,158856,11082020,187096,1.39,96.97
2021-04-01,India,12393078,164110,11557074,671894,1.32,93.25
2021-04-15,India,14188774,174139,12901919,1112716,1.23,90.93
2021-05-01,India,19164969,211853,15956576,2996540,1.11,83.26
2021-05-15,India,24677714,270284,20639657,3767773,1.1,83.64
2021-06-01,India,28157904,329100,26816400,1012404,1.17,95.24
2021-06-15,India,29635543,378034,28861853,395656,1.28,97.39
2021-07-01,India,30523024,401506,29907443,214075,1.32,97.98
