date,country,confirmed,deaths,recovered,active
2020-01-22,India,0,0,0,0
2020-02-01,India,1,0,0,1
2020-03-01,india,3,0,,3
2020-03-15,INDIA,107,2,10,95
2020-04-01,India,1834,58,148,1628
2020-04-01,India,1834,58,148,1628
2020-04-15,India,11933,392,1359,10182
2020-05-01,India,35043,1147,9068,
2020-05-15,India,,2752,30258,52930
2020-06-01,India,190535,5394,91819,93322
2020-06-15,India,343091,,181789,151402
2020-07-01,India,585493,17400,349950,218143
2020-07-15,India,949156,24529,596439,328188
2020-08-01,India,1751919,37364,,517612
2020-08-15,India,2526192,49980,1779450,696762
2020/09/01,India,3769524,66333,2917890,785301
2020-09-15,India,4930236,81025,3980898,868313
2020-10-01,India,6394068,99773,5441779,852516
2020-10-15,India,7331807,111266,6464375,756166
2020-11-01,India,8184082,121641,7442962,619479
2020-11-15,India,8831214,130070,8262180,438964
2020-12-01,India,9462809,137621,8934649,390539
2020-12-15,India,10003012,145074,9577539,280399
2021-01-01,India,10323474,149218,9925056,249200
2021-01-15,India,10557985,152454,10200883,204648
2021-02-01,India,10766245,154596,10459564,152085
2021-02-15,India,10937516,155739,10643988,137789
2021-03-01,India,11124527,157248,10807568,159711
2021-03-15,India,11427972,158856,11082020,187096
2021-04-01,India,12393078,164110,11557074,671894
2021-04-15,India,14188774,174139,12901919,1112716
2021-05-01,India,19164969,211853,15956576,2996540
2021-05-15,India,24677714,270284,20639657,3767773
2021-06-01,India,28157904,329100,26816400,1012404
2021-06-15,India,29635543,378034,28861853,395656
2021-07-01,India,30523024,401506,29907443,214075
2021-07-15,India,31026044,412553,30413636,199855
2021-08-01,India,31695958,424773,31017847,253338
2021-08-15,India,32260529,431642,31726916,101971
2021-09-01,India,32890015,439895,32329028,121092
2021-09-15,India,33335543,443213,32944063,148267
2021-10-01,India,33804599,448817,33407258,148524
2021-10-15,India,34088834,451189,33718726,118919
2021-11-01,India,34350286,461849,33965674,122763
2021-11-15,India,34481536,467933,34118278,95325
2021-12-01,India,34611852,471244,34327428,113180
2021-12-15,India,34752372,477998,34358697,115677
2022-01-01,India,34957808,480860,34587252,89696
2022-01-15,India,37379612,484655,35484753,1410204
2022-02-01,India,42213922,503693,41380067,330162
2022-02-15,India,42697581,509388,42371551,116642
2022-03-01,India,42940019,516543,42691404,132072
2020-01-22,USA,1,0,0,1
2020-02-01,USA,8,0,3,5
2020-03-01,usa,75,1,1,73
2020-03-15,USA,3499,65,49,3385
2020-04-01,USA,215344,5112,8878,201354
2020-04-01,USA,215344,5112,8878,201354
2020-04-15,USA,636350,28326,52096,555928
2020-05-01,USA,1069424,62996,,852481
2020-05-15,USA,1469566,89271,270988,1109307
2020-06-01,USA,1825299,106195,493388,1225716
2020-06-15,USA,,117113,594461,1407191
2020-07-01,USA,2727347,129046,748333,1849968
2020-07-15,USA,3532067,137447,1076022,2318598
2020-08-01,USA,4648371,153946,1472296,3022129
2020-08-15,USA,5358037,169797,1830001,3358239
2020/09/01,USA,6082088,185257,2387793,3508038
2020-09-15,USA,6658579,197598,2648083,3812898
2020-10-01,USA,7304613,209823,2878680,4216110
2020-10-15,USA,7986756,217918,3140026,4628812
2020-11-01,USA,9292917,231218,3749833,5311866
2020-11-15,USA,11155133,247295,4320985,6586853
2020-12-01,USA,13878248,272986,5296800,8308462
2020-12-15,USA,16861217,307247,6622803,9931167
2021-01-01,USA,20359784,352283,7854742,12152759
2021-01-15,USA,23190665,387459,9455296,13347910
2021-02-01,USA,26254097,439533,15765218,10049346
2021-02-15,USA,27740490,486475,17541246,9712769
2021-03-01,USA,28803551,518223,19099345,9185983
2021-03-15,USA,29812411,540785,20543680,8727946
2021-04-01,USA,30596032,553544,22259547,7782941
2021-04-15,USA,31295789,563803,23497427,7234559
2021-05-01,USA,32205433,573614,24779484,6852335
2021-05-15,USA,32910049,584282,26024703,6301064
2021-06-01,USA,33364457,597029,27208698,5558730
2021-06-15,USA,33459748,600415,27698640,5160693
2021-07-01,USA,33557921,603373,27898640,5055908
2021-07-15,USA,33972742,609192,28234019,5129531
2021-08-01,USA,35396397,619527,29085695,5691175
2021-08-15,USA,37014207,632765,29814978,6566464
2021-09-01,USA,39448693,645491,30895433,7907769
2021-09-15,USA,41403066,666936,32249836,8486294
2021-10-01,USA,43325009,695149,33619726,9010134
2021-10-15,USA,44716963,720904,34785834,9210225
2021-11-01,USA,45982984,743447,35978992,9260545
2021-11-15,USA,47341313,768543,36882641,9690129
2021-12-01,USA,48828472,789041,38058440,9980991
2021-12-15,USA,51126695,811282,39432543,10882870
2022-01-01,USA,55378014,826672,42374014,12177328
2022-01-15,USA,66157009,856556,46893812,18406641
2022-02-01,USA,75841768,899630,51873812,23068326
2022-02-15,USA,78560421,940285,56741812,20878324
2022-03-01,USA,79614570,964519,60721812,17928239
